🕘️更新时间,#genre#
2025-07-13 18:31:01,http://8.138.214.88:47681/mgtv/608807420.m3u8

📺央视频道,#genre#
CCTV-1 综合,http://8.138.214.88:47681/mgtv/608807420.m3u8
CCTV-1 综合,http://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF
CCTV-1 综合,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV-1 综合,http://ygbh.site/php/bfgd.php?id=488
CCTV-1 综合,http://ygbh.site/php/bfgd.php?id=201
CCTV-1 综合,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV-1 综合,http://ygbh.site/php/bfgd.php?id=484
CCTV-1 综合,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV-1 综合,http://ygbh.site/php/bfgd.php?id=489
CCTV-2 财经,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-2 财经,http://8.138.214.88:47681/mgtv/631780532.m3u8
CCTV-2 财经,http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://8.138.214.88:47681/mgtv/624878271.m3u8
CCTV-3 综艺,http://qjrhc.jydjd.top:2911/udp/224.1.100.64:11111
CCTV-3 综艺,http://drive.mxmy.net:8888/udp/239.3.1.172:8001
CCTV-3 综艺,http://nas.hssvm.com:8888/udp/225.1.1.158:5002
CCTV-3 综艺,http://222.134.245.16:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4 中文国际,http://8.138.214.88:47681/mgtv/631780421.m3u8
CCTV-4 中文国际,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4 中文国际,http://drive.mxmy.net:8888/udp/239.3.1.105:8092
